variable,prevalence,selected
lang_English,1,FALSE
lang_French,0.409002126828421,TRUE
lang_German,0.411128955249794,TRUE
lang_Italian,0.284777985155606,TRUE
lang_Spanish,0.401927166977733,TRUE
lang_Simplified_Chinese,0.356222058249056,TRUE
lang_Traditional_Chinese,0.166153044837015,FALSE
lang_Korean,0.216025001085117,TRUE
lang_Russian,0.27062806545423,TRUE
lang_Dutch,0.0761751812144624,FALSE
lang_Japanese,0.357741221407179,TRUE
lang_Polish,0.167845826641781,FALSE
lang_Portuguese,0.281696254177699,TRUE
lang_Turkish,0.0827726897868831,FALSE
